"","ASSESSMENT","ID_NO","SCI_NAME","PRESENCE","ORIGIN","SEASONAL","COMPILER","YRCOMPILED"
"452",150088723,150088702,"Microhyla rubra",1,1,1,"Louise Hobin",2021
"453",150088723,150088702,"Microhyla rubra",6,1,1,"Louise Hobin",2021
"454",150499177,57682,"Asterophrys leucopus",1,1,1,"Louise Hobin",2019
"455",150627491,136020,"Asterophrys pullifer",1,1,1,"IUCN",2019
"456",150631287,57683,"Asterophrys turpicola",1,1,1,"Louise Hobin",2019
"457",150973272,152524589,"Cophixalus verrucosus",1,1,1,"IUCN",2019
"458",150973272,152524589,"Cophixalus verrucosus",1,1,1,"Louise Hobin",2019
"459",150992364,57794,"Copiula fistulans",1,1,1,"IUCN",2019
"460",150992364,57794,"Copiula fistulans",1,1,1,"Louise Hobin",2019
"461",150997620,57798,"Copiula oxyrhina",1,1,1,"IUCN",2019
"462",150997620,57798,"Copiula oxyrhina",6,1,1,"Louise Hobin",2019
