"","sp","orig.x","prev","curr","notes","species","citation.x","name","auth","orig.y","latitude","longitude","citation.y"
"59","parkopanorum","Oreophryne parkopanorum Kraus, 2013","Oreophryne","Oreophryne","Retained in Oreophryne","Oreophryne parkopanorum","Kraus, 2013","Oreophryne parkopanorum","Kraus, 2013","Oreophryne parkopanorum Kraus, 2013",-3.3773,142.518,"Kraus, 2013"
"60","penelopeia","Oreophryne penelopeia Kraus, 2016","Oreophryne","Auparoparo","Transferred to Auparoparo","Oreophryne penelopeia","Kraus, 2016","Oreophryne penelopeia","Kraus, 2016","Oreophryne penelopeia Kraus, 2016",-10.0781,151.007,"Kraus, 2016"
"61","philosylleptoris","Oreophryne philosylleptoris Kraus, 2016","Oreophryne","Oreophryne","Retained in Oreophryne","Oreophryne philosylleptoris","Kraus, 2016","Oreophryne philosylleptoris","Kraus, 2016","Oreophryne philosylleptoris Kraus, 2016",-10.0315,150.9781,"Kraus, 2016"
"62","phoebe","Oreophryne phoebe Kraus, 2017","Oreophryne","Auparoparo","Transferred to Auparoparo","Oreophryne phoebe","Kraus, 2017","Oreophryne phoebe","Kraus, 2017","Oreophryne phoebe Kraus, 2017",-9.12168,152.74868,"Kraus, 2017"
"63","picticrus","Oreophryne picticrus Kraus, 2016","Oreophryne","Auparoparo","Transferred to Auparoparo","Oreophryne picticrus","Kraus, 2016","Oreophryne picticrus","Kraus, 2016","Oreophryne picticrus Kraus, 2016",-10.6725,152.6838,"Kraus, 2016"
"64","pseudasplenicola","Oreophryne pseudasplenicola Günther, 2003","Oreophryne","incertae sedis","","Oreophryne pseudasplenicola","Günther, 2003","Oreophryne pseudasplenicola","Günther, 2003","Oreophryne pseudasplenicola Günther, 2003",-1.75,136.31667,"Günther, 2003"
"65","pseudunicolor","Oreophryne pseudunicolor Günther and Richards, 2016","Oreophryne","incertae sedis","","Oreophryne pseudunicolor","Günther and Richards, 2016","Oreophryne pseudunicolor","Günther and Richards, 2016","Oreophryne pseudunicolor Günther and Richards, 2016",-7.12952,143.61343,"Günther and Richards, 2016"
"66","purari","Oreophryne purari Günther, Nagombi, and Richards, 2025","Oreophryne","incertae sedis","","Oreophryne purari","Günther, Nagombi, and Richards, 2025","Oreophryne purari","Günther, Nagombi, and Richards, 2025","Oreophryne purari Günther, Nagombi, and Richards, 2025",-7.3518,143.61343,"Günther, Nagombi, and Richards, 2025"
"67","riyantoi","Oreophryne riyantoi Putri, Trilaksono, Kurniati, Engilis, and Hamidy, 2023","Oreophryne","incertae sedis","","Oreophryne riyantoi","Putri, Trilaksono, Kurniati, Engilis, and Hamidy, 2023","Oreophryne riyantoi","Putri, Trilaksono, Kurniati, Engilis, and Hamidy, 2023","Oreophryne riyantoi Putri, Trilaksono, Kurniati, Engilis, and Hamidy, 2023",-3.66267,121.22067,"Putri, Trilaksono, Kurniati, Engilis, and Hamidy, 2023"
"68","roedeli","Oreophryne roedeli Günther, 2015","Oreophryne","incertae sedis","","Oreophryne roedeli","Günther, 2015","Oreophryne roedeli","Günther, 2015","Oreophryne roedeli Günther, 2015",-2.8771,132.30472,"Günther, 2015"
"69","rookmaakeri","Oreophryne rookmaakeri Mertens, 1927","Oreophryne","incertae sedis","","Oreophryne rookmaakeri","Mertens, 1927","Oreophryne rookmaakeri","Mertens, 1927","Oreophryne rookmaakeri Mertens, 1927",-8.64206,120.55984,"Mertens, 1927"
"70","sibilans","Oreophryne sibilans Günther, 2003","Oreophryne","incertae sedis","","Oreophryne sibilans","Günther, 2003","Oreophryne sibilans","Günther, 2003","Oreophryne sibilans Günther, 2003",-2.93333,134.63333,"Günther, 2003"
"71","streiffeleri","Oreophryne streiffeleri Günther and Richards, 2012","Oreophryne","incertae sedis","","Oreophryne streiffeleri","Günther and Richards, 2012","Oreophryne streiffeleri","Günther and Richards, 2012","Oreophryne streiffeleri Günther and Richards, 2012",-5.50305,143.0811,"Günther and Richards, 2012"
"72","terrestris","Oreophryne terrestris Zweifel, Cogger, and Richards, 2005","Oreophryne","incertae sedis","","Oreophryne terrestris","Zweifel, Cogger, and Richards, 2005","Oreophryne terrestris","Zweifel, Cogger, and Richards, 2005","Oreophryne terrestris Zweifel, Cogger, and Richards, 2005",-5.01667,141.1,"Zweifel, Cogger, and Richards, 2005"
"73","unicolor","Oreophryne unicolor Günther, 2003","Oreophryne","incertae sedis","","Oreophryne unicolor","Günther, 2003","Oreophryne unicolor","Günther, 2003","Oreophryne unicolor Günther, 2003",-2.93333,134.61667,"Günther, 2003"
"74","variabilis","Sphenophryne variabilis Boulenger, 1896","Oreophryne","Auparoparo","Transferred to Auparoparo","Sphenophryne variabilis","Boulenger, 1896","Sphenophryne variabilis","Boulenger, 1896","Oreophryne variabilis (Boulenger, 1896)",-5.39346,119.914,"(Boulenger, 1896)"
"75","waira","Oreophryne waira Günther, 2003","Oreophryne","incertae sedis","","Oreophryne waira","Günther, 2003","Oreophryne waira","Günther, 2003","Oreophryne waira Günther, 2003",-1.78333,136.33333,"Günther, 2003"
"76","wapoga","Oreophryne wapoga Günther, Richards, and Iskandar, 2001","Oreophryne","incertae sedis","","Oreophryne wapoga","Günther, Richards, and Iskandar, 2001","Oreophryne wapoga","Günther, Richards, and Iskandar, 2001","Oreophryne wapoga Günther, Richards, and Iskandar, 2001",-3.14478,136.57372,"Günther, Richards, and Iskandar, 2001"
"77","wolterstorffi","Hylella wolterstorffi Werner, 1901","Oreophryne","incertae sedis","","Hylella wolterstorffi","Werner, 1901","Hylella wolterstorffi","Werner, 1901","Oreophryne wolterstorffi (Werner, 1901)",NA,NA,"(Werner, 1901)"
"78","zimmeri","Oreophryne zimmeri Ahl, 1933","Oreophryne","incertae sedis","","Oreophryne zimmeri","Ahl, 1933","Oreophryne zimmeri","Ahl, 1933","Oreophryne zimmeri Ahl, 1933",-3.63744,121.22331,"Ahl, 1933"
